url,route_family,city,theme,action,redirect_target,expected_target_status,sitemap_section,recommended_final_action
/night-in-kyoto,themed-list,kyoto,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-kyoto,themed-list,kyoto,spring,redirect,/best-time-to-visit-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-kyoto,themed-list,kyoto,summer,redirect,/best-time-to-visit-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/fall-in-kyoto,themed-list,kyoto,fall,redirect,/best-time-to-visit-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/winter-in-kyoto,themed-list,kyoto,winter,redirect,/best-time-to-visit-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-with-kids,themed-list,kyoto,with-kids,redirect,/family-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-with-teens,themed-list,kyoto,with-teens,redirect,/family-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-airport-guide,themed-list,kyoto,airport-guide,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/kyoto-budget-per-day,themed-list,kyoto,budget-per-day,redirect,/cheap-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/bachelor-party-in-kyoto,themed-list,kyoto,bachelor-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bachelorette-party-in-kyoto,themed-list,kyoto,bachelorette-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/weekend-in-kyoto,weekend,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-2-day-itinerary,itinerary,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-3-day-itinerary,itinerary,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-4-day-itinerary,itinerary,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-5-day-itinerary,itinerary,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/kyoto-7-day-itinerary,itinerary,kyoto,,redirect,/destinations/kyoto,200,(removed from sitemap: 308),redirect (shipped)
/first-time-in-kyoto,themed-list,kyoto,first-timer,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/is-kyoto-worth-visiting,themed-list,kyoto,worth-visiting,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/hidden-gems-in-kyoto,themed-list,kyoto,hidden-gems,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/most-instagrammable-places-in-kyoto,themed-list,kyoto,instagram,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/luxury-travel-in-kyoto,themed-list,kyoto,luxury,redirect,/luxury-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/how-many-days-in-kyoto,themed-list,kyoto,how-many-days,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/kyoto-for-solo-female-travelers,themed-list,kyoto,solo-female,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/kyoto-bucket-list,themed-list,kyoto,bucket-list,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/private-tours-in-kyoto,themed-list,kyoto,private-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/walking-tours-in-kyoto,themed-list,kyoto,walking-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/things-to-do-in-osaka,things-to-do,osaka,,redirect,/top-attractions-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-osaka,themed-list,osaka,family,redirect,/family-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-osaka,themed-list,osaka,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-osaka,themed-list,osaka,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-osaka,themed-list,osaka,honeymoon,redirect,/luxury-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-osaka,themed-list,osaka,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-osaka,themed-list,osaka,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-osaka,themed-list,osaka,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/night-in-osaka,themed-list,osaka,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-osaka,themed-list,osaka,spring,redirect,/best-time-to-visit-osaka,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-osaka,themed-list,osaka,summer,redirect,/best-time-to-visit-osaka,200,(removed from sitemap: 308),redirect (shipped)
/fall-in-osaka,themed-list,osaka,fall,redirect,/best-time-to-visit-osaka,200,(removed from sitemap: 308),redirect (shipped)
/winter-in-osaka,themed-list,osaka,winter,redirect,/best-time-to-visit-osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-with-kids,themed-list,osaka,with-kids,redirect,/family-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-with-teens,themed-list,osaka,with-teens,redirect,/family-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-airport-guide,themed-list,osaka,airport-guide,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/osaka-budget-per-day,themed-list,osaka,budget-per-day,redirect,/cheap-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/bachelor-party-in-osaka,themed-list,osaka,bachelor-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bachelorette-party-in-osaka,themed-list,osaka,bachelorette-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/weekend-in-osaka,weekend,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-2-day-itinerary,itinerary,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-3-day-itinerary,itinerary,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-4-day-itinerary,itinerary,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-5-day-itinerary,itinerary,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/osaka-7-day-itinerary,itinerary,osaka,,redirect,/destinations/osaka,200,(removed from sitemap: 308),redirect (shipped)
/first-time-in-osaka,themed-list,osaka,first-timer,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/is-osaka-worth-visiting,themed-list,osaka,worth-visiting,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/hidden-gems-in-osaka,themed-list,osaka,hidden-gems,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/most-instagrammable-places-in-osaka,themed-list,osaka,instagram,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/luxury-travel-in-osaka,themed-list,osaka,luxury,redirect,/luxury-hotels-in-osaka,200,(removed from sitemap: 308),redirect (shipped)
/how-many-days-in-osaka,themed-list,osaka,how-many-days,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/osaka-for-solo-female-travelers,themed-list,osaka,solo-female,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/osaka-bucket-list,themed-list,osaka,bucket-list,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/private-tours-in-osaka,themed-list,osaka,private-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/walking-tours-in-osaka,themed-list,osaka,walking-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/things-to-do-in-seoul,things-to-do,seoul,,redirect,/top-attractions-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-seoul,themed-list,seoul,family,redirect,/family-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-seoul,themed-list,seoul,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-seoul,themed-list,seoul,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-seoul,themed-list,seoul,honeymoon,redirect,/luxury-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-seoul,themed-list,seoul,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-seoul,themed-list,seoul,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-seoul,themed-list,seoul,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/night-in-seoul,themed-list,seoul,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-seoul,themed-list,seoul,spring,redirect,/best-time-to-visit-seoul,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-seoul,themed-list,seoul,summer,redirect,/best-time-to-visit-seoul,200,(removed from sitemap: 308),redirect (shipped)
/fall-in-seoul,themed-list,seoul,fall,redirect,/best-time-to-visit-seoul,200,(removed from sitemap: 308),redirect (shipped)
/winter-in-seoul,themed-list,seoul,winter,redirect,/best-time-to-visit-seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-with-kids,themed-list,seoul,with-kids,redirect,/family-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-with-teens,themed-list,seoul,with-teens,redirect,/family-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-airport-guide,themed-list,seoul,airport-guide,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/seoul-budget-per-day,themed-list,seoul,budget-per-day,redirect,/cheap-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/bachelor-party-in-seoul,themed-list,seoul,bachelor-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bachelorette-party-in-seoul,themed-list,seoul,bachelorette-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/weekend-in-seoul,weekend,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-2-day-itinerary,itinerary,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-3-day-itinerary,itinerary,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-4-day-itinerary,itinerary,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-5-day-itinerary,itinerary,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/seoul-7-day-itinerary,itinerary,seoul,,redirect,/destinations/seoul,200,(removed from sitemap: 308),redirect (shipped)
/first-time-in-seoul,themed-list,seoul,first-timer,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/is-seoul-worth-visiting,themed-list,seoul,worth-visiting,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/hidden-gems-in-seoul,themed-list,seoul,hidden-gems,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/most-instagrammable-places-in-seoul,themed-list,seoul,instagram,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/luxury-travel-in-seoul,themed-list,seoul,luxury,redirect,/luxury-hotels-in-seoul,200,(removed from sitemap: 308),redirect (shipped)
/how-many-days-in-seoul,themed-list,seoul,how-many-days,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/seoul-for-solo-female-travelers,themed-list,seoul,solo-female,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/seoul-bucket-list,themed-list,seoul,bucket-list,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/private-tours-in-seoul,themed-list,seoul,private-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/walking-tours-in-seoul,themed-list,seoul,walking-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/things-to-do-in-bangkok,things-to-do,bangkok,,redirect,/top-attractions-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-bangkok,themed-list,bangkok,family,redirect,/family-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-bangkok,themed-list,bangkok,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-bangkok,themed-list,bangkok,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-bangkok,themed-list,bangkok,honeymoon,redirect,/luxury-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-bangkok,themed-list,bangkok,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-bangkok,themed-list,bangkok,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-bangkok,themed-list,bangkok,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/night-in-bangkok,themed-list,bangkok,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-bangkok,themed-list,bangkok,spring,redirect,/best-time-to-visit-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-bangkok,themed-list,bangkok,summer,redirect,/best-time-to-visit-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/fall-in-bangkok,themed-list,bangkok,fall,redirect,/best-time-to-visit-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/winter-in-bangkok,themed-list,bangkok,winter,redirect,/best-time-to-visit-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-with-kids,themed-list,bangkok,with-kids,redirect,/family-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-with-teens,themed-list,bangkok,with-teens,redirect,/family-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-airport-guide,themed-list,bangkok,airport-guide,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bangkok-budget-per-day,themed-list,bangkok,budget-per-day,redirect,/cheap-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bachelor-party-in-bangkok,themed-list,bangkok,bachelor-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bachelorette-party-in-bangkok,themed-list,bangkok,bachelorette-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/weekend-in-bangkok,weekend,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-2-day-itinerary,itinerary,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-3-day-itinerary,itinerary,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-4-day-itinerary,itinerary,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-5-day-itinerary,itinerary,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/bangkok-7-day-itinerary,itinerary,bangkok,,redirect,/destinations/bangkok,200,(removed from sitemap: 308),redirect (shipped)
/first-time-in-bangkok,themed-list,bangkok,first-timer,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/is-bangkok-worth-visiting,themed-list,bangkok,worth-visiting,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/hidden-gems-in-bangkok,themed-list,bangkok,hidden-gems,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/most-instagrammable-places-in-bangkok,themed-list,bangkok,instagram,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/luxury-travel-in-bangkok,themed-list,bangkok,luxury,redirect,/luxury-hotels-in-bangkok,200,(removed from sitemap: 308),redirect (shipped)
/how-many-days-in-bangkok,themed-list,bangkok,how-many-days,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bangkok-for-solo-female-travelers,themed-list,bangkok,solo-female,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bangkok-bucket-list,themed-list,bangkok,bucket-list,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/private-tours-in-bangkok,themed-list,bangkok,private-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/walking-tours-in-bangkok,themed-list,bangkok,walking-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/things-to-do-in-singapore,things-to-do,singapore,,redirect,/top-attractions-in-singapore,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-singapore,themed-list,singapore,family,redirect,/family-hotels-in-singapore,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-singapore,themed-list,singapore,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-singapore,themed-list,singapore,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-singapore,themed-list,singapore,honeymoon,redirect,/luxury-hotels-in-singapore,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-singapore,themed-list,singapore,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-singapore,themed-list,singapore,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-singapore,themed-list,singapore,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/night-in-singapore,themed-list,singapore,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-singapore,themed-list,singapore,spring,redirect,/best-time-to-visit-singapore,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-singapore,themed-list,singapore,summer,redirect,/best-time-to-visit-singapore,200,(removed from sitemap: 308),redirect (shipped)
